WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00013SLOC,HAMLING LAKES,HAMLING #3,13.90091808,1785.8332,1871,-117.5134839,50.26451624,645,1651,1,3,6,16,41,104,197,185,72,15,2,1,1,Regional,4W,,569
00442KOTL,JOHNIANNE LAKE,JOHNIANNE,1.18453934,533.4017,1692,-117.5382422,49.54480881,1006,1292,2,4,9,25,72,161,277,278,140,32,5,2,1,Regional,4W,,570
00047SLOC,LITTLE WILSON LAKE,LITTLE WILSON,26.94142277,2888.8029,896,-117.5710212,50.23062957,1506,1189,3,8,22,60,161,270,368,350,195,55,11,4,2,Regional,4W,,571
00068KOTL,MILFORD LAKE,MILFORD,1.90839352,579.006,1472,-116.9285698,50.01391719,1087,1106,2,5,12,30,81,185,292,289,147,34,6,3,1,Family,4W,,573
00324DUNC,,MORGAN(MORGAN LAKE),7.62043261,1407.3473,1788,-117.0091954,50.48402237,726,1205,1,3,7,17,42,121,223,210,82,17,3,1,1,Regional,4W,,574
00313LARL,NANCY GREENE LAKE,NANCY GREENE(SHEEP),29.04070882,3101.1322,1266,-117.9452632,49.25319851,1372,893,1,1,6,35,129,232,354,351,198,57,5,1,6,Regional,4W,,575
00395KOTL,NOAKES LAKES,NOAKES,2.70311779,795.8122,2079,-117.0167885,49.67714934,656,1495,1,3,5,11,28,93,207,208,82,16,3,1,2,Regional,4W,,576
00002LARL,NORTH CARIBOU LAKE,NORTH CARIBOU(CARIBOU #3),9.56963319,1389.5844,1007,-118.0230681,50.22441651,1411,1033,4,8,21,53,144,250,346,331,187,52,11,4,5,Regional,4W,,577
00416LARL,ROSEBUD LAKE,ROSEBUD,15.65813462,2206.2297,808,-117.266528,49.04662973,1791,758,5,11,32,86,188,296,409,407,247,86,18,7,2,Quality,4W,,578
00534SLOC,,RUSSEL,7.45250749,1474.9769,1988,-117.8530311,49.54979797,673,1212,1,2,4,11,33,97,197,213,88,20,4,2,1,Regional,4W,,579
00680KOTL,SIWASH LAKE,SIWASH,7.43915648,1165.569,1848,-117.4656365,49.3648125,839,1402,2,3,7,18,55,129,230,246,118,26,4,2,1,Regional,4W,,580
00003LARL,SOUTH CARIBOU LAKE,SOUTH CARIBOU(CARIBOU #2),15.34806226,1707.2518,983,-118.0315199,50.21979885,1433,1041,4,8,22,54,148,254,350,335,190,53,11,4,2,Regional,4W,,581
00087UARL,UPPER ARROW LAKE,UPPER ARROW,31368.60096,345084.8638,441,-117.9244691,50.55350817,1837,841,5,11,33,93,225,331,411,386,232,85,20,6,40,Regional,4W,,582
00123UARL,WILLIAMSON LAKE,WILLIAMSON,3.92391899,1161.3155,453,-118.1701415,50.96805063,1758,922,4,9,32,90,218,316,396,376,219,77,16,5,7,Family,4W,,583
00042SLOC,WILSON LAKE,WILSON,139.8633336,10447.4863,938,-117.6471847,50.24008252,1455,1175,3,7,20,57,156,261,358,340,186,52,11,4,3,Regional,4W,,584
00710KOTL,,WOODENSHOE,19.06631216,2023.0809,1877,-116.5732234,49.33493283,756,1306,1,3,5,15,43,117,230,223,92,22,3,2,1,Regional,4W,,585
02012SAJR,108 MILE LAKE,108 MILE,143.2415882,7206.3101,883,-121.3625748,51.74271356,1243,439,0,1,7,37,134,237,314,294,160,55,4,0,5,Regional,5,,586
02402QUES,ABBOTT LAKE,ABBOTT,21.16371178,2114.5999,832,-121.5012136,52.32502552,1256,557,0,1,6,36,134,235,318,300,164,56,4,0,2,Quality,5,,587
02280QUES,BAILLON LAKE,BALLON,23.60730579,2147.4405,783,-121.6200549,52.36935238,1325,535,0,1,7,41,144,245,331,316,176,60,5,0,1,Trophy,5,,588
01031COTR,BELLOS LAKE,BELLOS,22.751034,2604.8885,954,-122.3048491,53.11539773,1064,652,0,1,4,24,104,200,282,270,134,43,3,0,1,Regional,5,,589
00957BBAR,BIG BAR LAKE,BIG BAR,226.4236687,11055.0162,1082,-121.794573,51.30878106,1074,410,0,1,5,25,104,203,286,267,137,43,3,0,7,Regional,5,,590
01152TASR,BIG ONION LAKE,BIG ONION(ONION),58.86222892,8407.4998,1322,-123.6323277,51.4078716,753,675,0,1,2,13,56,127,206,197,112,36,3,0,2,Quality,5,,591
02219QUES,BIG LAKE,BIG,576.9485057,18395.3163,821,-121.8380753,52.3823095,1286,537,0,1,6,39,139,238,325,305,171,57,4,0,15,Family,5,,592
00499DOGC,BOAR LAKE,BOAR,30.6307376,3459.156,1146,-121.6519599,51.53686882,1040,453,0,1,4,24,100,198,276,260,133,41,3,0,2,Trophy,5,,593
00001BRID,BOBBS LAKE,BOBBS(BOBB'S),106.8798128,6037.4107,1019,-120.9622934,51.80597568,1099,553,0,1,5,27,110,211,283,272,141,46,3,0,3,Regional,5,,594
01192COTR,BOUCHIE LAKE,BOUCHIE(SIX MILE),134.7089821,5033.7389,686,-122.6264545,53.0351929,1325,556,0,1,7,41,151,248,333,312,172,57,4,0,5,Regional,5,,595
